grupo,ano,fecha_de_la_primera_nota_que_refiere_al_hallazgo,estado,cve_ente,ciudad_o_localidad,municipio,cve_muni,sitio_de_hallazgo,latitud,longitud,numero_de_fosas,numero_de_cuerpos,masculino,femenino,restos_si_1_no_0,total_restos,osamentas,total_de_cuerpos_y_osamentas,personas_identificadas,pdfs,vinculo_al_archivo_de_internet,nombre_del_medio,vinculo_web_al_medio_digital,averiguacion_previa_estatus_ap_ci,personas_consignadas,delitos_por_los_que_fueron_consignados,estado_procesal,observaciones,fosas_altas,cuerpos_altos,restos_altos
grupo_uno,2014,17/11/14,Michoacán de Ocampo,16,Buenos Aires,Lázaro Cárdenas,52,"Predio cercano a la Escuela Secundaria 106, en la colonia Respuesta Social",na,na,2,3,2,1,0,0,0,3,1,"fosas clandestinas 2013-14 (3) págs 49, 59, 61, 109",na,Excelsior; Reforma; La Jornada; La Voz de Michoacán,na,na,na,na,na,"En una nota se menciona que dos cuerpos fueron identificados, pero la redacción no es tan clara",2,3,0
grupo_uno,2014,06/02/14,Michoacán de Ocampo,16,Cercano a Zacán,Tingüindín,91,"En el sitio conocido como ""El Moral""  o ""Huertas del Moral""",na,na,1,19,na,4,0,0,0,19,na,"fosas clandestinas 2013-14 (21) págs 123, 124, 139, 148, 149, 167, 172, 173, 186; fosas clandestinas 2013-14 (20) págs 45, 282, 297, 299; fosa cuerpos 2013-14 (6) págs 95, 128, 129; fosa cuerpos 2013-14 (3) pág 19",http://www.reforma.com/nacional/articulo/730/1458551/     http://yucatan.com.mx/mexico/un-macabro-hallazgo      http://e-consulta.com/nota/2014-02-07/nacion/pide-licencia-senadora-y-va-la-pgr-para-defenderse    http://www.reforma.com/nacional/articulo/730/1458822/,El País; Excelsior; Reforma; Publímetro; El Diario de Yucatán; e-Consulta; Diario Imagen; Unomásuno; La Razón; El Financiero; El Economista; Milenio; El Universal; La Crónica; El Zeta,na,na,na,na,na,La cifra puede aumentar a 24 cuerpos de los cuales 8 serían masculinos. El hallazgo es en los límites de Tingüindín y Los Reyes,1,24,0
grupo_uno,2014,22/08/14,Michoacán de Ocampo,16,na,Tumbiscatío,96,"En una zona cerrana conocida como ""El Falsete"" o ""rancho El Falsete"", en la demarcación de Arteaga",na,na,1,9,7,2,0,0,0,9,na,"Fosas clandestinas 2013-14 (16) págs 139, 161,  331, 344; Fosas clandestinas 2013-14 (15) págs 22, 27; Fosas comunes 2013-14 (1) pág 221; masacre fosa 2013-2014 pág 88, 89; fosa cuerpos 2013-14 (1) pág 170, 175, 318",http://www.ejecentral.com.mx/hallan-fosa-con-12-cuerpos-en-bastion-templario/,Eje Central; Excelsior; Ovaciones; El Sol de México; Reforma; El Pulso Nacional; EL Sol de Morelia; El Norte,na,na,na,na,na,La cifra puede aumentar a 12 cuerpos de los cuales 8 serían masculinos y 2 femeninos,1,12,0
grupo_uno,2014,06/02/14,Morelos,17,Huajintlán,Amacuzac,1,"En los campos conocidos como ""Cajigal"", cerca de la carretera federal Amacuzac-Taxco",na,na,1,3,2,1,0,0,0,3,na,"fosas clandestinas 2013-14 (21)págs 125, 133, 174, 183; fosas clandestinas 2013-14 (20) págs 15, 232, 288",na,El Siglo de Torreón; El Diario de Juárez; Excelsior; OEM;,na,na,na,na,na,La cifra puede aumentar a 4 fosas y 4 cuerpos,4,4,0
grupo_uno,2014,28/07/14,Morelos,17,Huajintlán,Amacuzac,1,Al interior de una casa de seguridad,na,na,1,4,na,na,0,0,0,4,na,"fosas clandestinas 2013-14 (16) págs 99, 104; fosa cuerpos 2013-14 (1) pág 98",na,Diario Imagen; Excelsior; La Jornada,na,na,na,na,na,No se había incluido en informe,1,4,0
grupo_uno,2014,25/02/14,Morelos,17,na,Zacatepec,31,"En el cerro conocido como ""El Venado"", en un predio ubicado por la carretera Galeana-Tequesquitengo",na,na,1,3,2,1,0,0,0,3,na,"fosas clandestinas 2013-14 (19) págs 59, 215, 224, 235; fosas cuerpos 2013-14 (4) pág 51",na,Excelsior; Contexto,na,na,na,na,na,La cifra puede aumentar a 2 fosas,2,3,0
grupo_uno,2014,20/08/14,Morelos,17,na,Tetecala,21,"En un predio entre las Colonias Sonora y Actopan, a 50 mts del ""Puente Colorado""",na,na,1,2,2,na,0,0,0,2,na,"Fosas clandestinas 2013-14 (16) págs 123, 126; fosa cuerpos 2013-14 (1) págs 161, 165",na,Milenio; Excelsior; Diario Imagen; El Sol de Cuernavaca,na,na,na,na,na,na,1,2,0
grupo_uno,2014,16/07/14,Nuevo León,19,na,García,18,"Colonia ""El Cerrito I"", 200 metros al norte del camino a Icamole",na,na,1,1,na,na,0,0,0,1,1,"fosa cuerpos 2013-14 (1) págs 50, 51, 54",na,Milenio; El Porvenir; El Norte,na,na,na,na,na,La cifra puede aumentar a 3 cuerpos masculinos,1,3,0
grupo_uno,2014,21/07/14,Sinaloa,25,Mochicahui,El Fuerte,10,"A espaldas del panteón comunal, a 20 metros del borde de un dren",na,na,1,5,5,0,0,0,0,5,na,"fosas clandestinas 2013-14 (16) págs 48, 65, 75; fosa cuerpos 2013-14 (1) págs 76, 88, 91",na,El Sol de Sinaloa; El Norte; La Crónica; Noroeste; La Jornada,na,na,na,na,na,La cifra puede aumentar a 5 fosas. En informe se registró cifra baja de 1 cuerpo,5,5,0
grupo_uno,2014,05/03/14,Sinaloa,25,El Playón,Angostura,2,En un predio de la comunidad,na,na,1,3,3,0,0,0,0,3,na,"fosas cuerpos 2013-14 (4) págs 82, 234; fosas clandestinas 2013-14 (19) pág 93; fosas clandestinas 2013-14 (18) pág 68; fosa cuerpos 2013-14 (3) pág 19",http://diario.mx/Nacional/2014-03-05_3c61bb2b/encuentran-3-cuerpos-en-fosa-clandestina-en-sinaloa/,La Jornada; El Diario de Juárez; El Zeta,na,na,na,na,na,La cifra puede aumentar a 2 fosas,2,3,0
